Country,Uri,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release
Australia,https://open.spotify.com/track/2EGtBS7Ws3ajiSkJLviFJ4,436.7,chopstix,ScHoolboy Q - Travis Scott,0,gangster rap,3388289,0,CrasH Talk,4/26/2019,3,14,0.958,0.597,9,-7.092,0,0.111,0.0457,0,0.138,0.619,127.931,180453,4,rap,568
Belgium,https://open.spotify.com/track/2EGtBS7Ws3ajiSkJLviFJ4,145.6,chopstix,ScHoolboy Q - Travis Scott,0,gangster rap,3388289,0,CrasH Talk,4/26/2019,3,14,0.958,0.597,9,-7.092,0,0.111,0.0457,0,0.138,0.619,127.931,180453,4,rap,568
Canada,https://open.spotify.com/track/2EGtBS7Ws3ajiSkJLviFJ4,2323.15,chopstix,ScHoolboy Q - Travis Scott,0,gangster rap,3388289,0,CrasH Talk,4/26/2019,3,14,0.958,0.597,9,-7.092,0,0.111,0.0457,0,0.138,0.619,127.931,180453,4,rap,568
Switzerland,https://open.spotify.com/track/2EGtBS7Ws3ajiSkJLviFJ4,255.25,chopstix,ScHoolboy Q - Travis Scott,0,gangster rap,3388289,0,CrasH Talk,4/26/2019,3,14,0.958,0.597,9,-7.092,0,0.111,0.0457,0,0.138,0.619,127.931,180453,4,rap,568
Denmark,https://open.spotify.com/track/2EGtBS7Ws3ajiSkJLviFJ4,42.4,chopstix,ScHoolboy Q - Travis Scott,0,gangster rap,3388289,0,CrasH Talk,4/26/2019,3,14,0.958,0.597,9,-7.092,0,0.111,0.0457,0,0.138,0.619,127.931,180453,4,rap,568
Finland,https://open.spotify.com/track/2EGtBS7Ws3ajiSkJLviFJ4,57.6,chopstix,ScHoolboy Q - Travis Scott,0,gangster rap,3388289,0,CrasH Talk,4/26/2019,3,14,0.958,0.597,9,-7.092,0,0.111,0.0457,0,0.138,0.619,127.931,180453,4,rap,568
France,https://open.spotify.com/track/2EGtBS7Ws3ajiSkJLviFJ4,2.4,chopstix,ScHoolboy Q - Travis Scott,0,gangster rap,3388289,0,CrasH Talk,4/26/2019,3,14,0.958,0.597,9,-7.092,0,0.111,0.0457,0,0.138,0.619,127.931,180453,4,rap,568
Ireland,https://open.spotify.com/track/2EGtBS7Ws3ajiSkJLviFJ4,61.6,chopstix,ScHoolboy Q - Travis Scott,0,gangster rap,3388289,0,CrasH Talk,4/26/2019,3,14,0.958,0.597,9,-7.092,0,0.111,0.0457,0,0.138,0.619,127.931,180453,4,rap,568
Norway,https://open.spotify.com/track/2EGtBS7Ws3ajiSkJLviFJ4,249.9,chopstix,ScHoolboy Q - Travis Scott,0,gangster rap,3388289,0,CrasH Talk,4/26/2019,3,14,0.958,0.597,9,-7.092,0,0.111,0.0457,0,0.138,0.619,127.931,180453,4,rap,568
New Zealand,https://open.spotify.com/track/2EGtBS7Ws3ajiSkJLviFJ4,1016.65,chopstix,ScHoolboy Q - Travis Scott,0,gangster rap,3388289,0,CrasH Talk,4/26/2019,3,14,0.958,0.597,9,-7.092,0,0.111,0.0457,0,0.138,0.619,127.931,180453,4,rap,568
Poland,https://open.spotify.com/track/2EGtBS7Ws3ajiSkJLviFJ4,199.95,chopstix,ScHoolboy Q - Travis Scott,0,gangster rap,3388289,0,CrasH Talk,4/26/2019,3,14,0.958,0.597,9,-7.092,0,0.111,0.0457,0,0.138,0.619,127.931,180453,4,rap,568
Portugal,https://open.spotify.com/track/2EGtBS7Ws3ajiSkJLviFJ4,215.6,chopstix,ScHoolboy Q - Travis Scott,0,gangster rap,3388289,0,CrasH Talk,4/26/2019,3,14,0.958,0.597,9,-7.092,0,0.111,0.0457,0,0.138,0.619,127.931,180453,4,rap,568
USA,https://open.spotify.com/track/1CiR9MK8zVPKtGrHe4LFPb,542.05,potential,Gucci Mane - Lil Uzi Vert - Young Dolph,0,atl hip hop,3520064,0,Delusions of Grandeur,6/21/2019,13,18,0.957,0.46,1,-7.513,1,0.325,0.00418,0.000748,0.0947,0.191,123.951,290325,4,hip hop,512
Canada,https://open.spotify.com/track/1CiR9MK8zVPKtGrHe4LFPb,48,potential,Gucci Mane - Lil Uzi Vert - Young Dolph,0,atl hip hop,3520064,0,Delusions of Grandeur,6/21/2019,13,18,0.957,0.46,1,-7.513,1,0.325,0.00418,0.000748,0.0947,0.191,123.951,290325,4,hip hop,512
Netherlands,https://open.spotify.com/track/5prZBl6RDYQzpMPFaq21v0,179.35,start,JoeyAK - Rev,0,dutch hip hop,73166,0,Luitenant,1/7/2018,2,11,0.957,0.576,0,-8.605,1,0.359,0.322,0,0.157,0.367,125.086,179870,4,hip hop,1042
Belgium,https://open.spotify.com/track/6K15vbGia4CiKLoqO6ANE9,218.4,jij & ik,Lil Kleine,0,dutch hip hop,998352,0,Alleen,6/23/2017,19,21,0.957,0.761,10,-4.865,0,0.265,0.131,0,0.0532,0.926,108.041,127973,4,hip hop,1240
Netherlands,https://open.spotify.com/track/6K15vbGia4CiKLoqO6ANE9,2436.7,jij & ik,Lil Kleine,0,dutch hip hop,998352,0,Alleen,6/23/2017,19,21,0.957,0.761,10,-4.865,0,0.265,0.131,0,0.0532,0.926,108.041,127973,4,hip hop,1240
